id_registro,texto_principal,label,label_detalhe,pipeline_origem,portal_origem,origem_texto,origem_qualidade,tamanho_chars,data_publicacao,url_origem
GFC_NEG_00001,"Nome dele é Hugo ele é do MST ajudem a divulgar. Infiltrado. Aproveitou o momento para destruir tudo e botar a culpa nos patriotas que são homens de bem, que só querem a liberdade.",0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,180,2023-01-09,https://www.boatos.org/politica/hugo-mst-estava-infiltrado-manifestacoes-brasilia-mostra-video.html
GFC_NEG_00002,"Em 2022, o TSE proibiu diminuir o preço dos combustiveis",0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,56,2026-03-19,https://checamos.afp.com/doc.afp.com.A3WV3T4
GFC_NEG_00003,"Alexandre de Moraes impõe ordem de prisão contra cidadã americana, o que é crime",0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,80,2024-04-24,https://www.aosfatos.org/noticias/mandado-prisao-moraes-brasileira-eua/
GFC_NEG_00004,"""BBC News admitiu que as vacinas contra a Covid causaram 'excesso de mortes' em 2022.""",0,FALSO,google_factcheck,OBSERVADOR,AFIRMACAO_CHECADA,ROTULO_FORTE,86,2023-06-05,https://observador.pt/factchecks/fact-check-bbc-news-admitiu-que-vacinas-contra-covid-provocou-excesso-de-mortes/
GFC_NEG_00005,Trump disse que vai prender Alexandre de Moraes na primeira semana como presidente dos EUA,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,90,,https://www.estadao.com.br/estadao-verifica/trump-disse-prender-alexandre-de-moraes-falso/
GFC_NEG_00006,O MST incendiou estes carros,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,28,2023-03-13,https://checamos.afp.com/doc.afp.com.33BA6YC
GFC_NEG_00007,PF descobriu que Alexandre de Moraes recebeu dinheiro para condenar Jair Bolsonaro,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,82,,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-afirmado-que-moraes-prendeu-bolsonaro-por-dinheiro/
GFC_NEG_00008,"""Óxido de grafeno detetado em análise independente de vacina Covid. Eu sei que custa a entender mas... É o que está a acontecer?!?! E podemos evitar muitas mortes se te juntares a nós!?""",0,FALSO,google_factcheck,OBSERVADOR,AFIRMACAO_CHECADA,ROTULO_FORTE,186,2021-09-14,https://observador.pt/factchecks/fact-check-estudo-da-universidade-de-almeria-confirma-a-presenca-de-grafeno-nas-vacinas/
GFC_NEG_00009,Pfizer lançou droga parecida com a ivermectina para prevenir a Covid-19,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,71,2021-10-25,https://www.aosfatos.org/noticias/e-falso-que-pfizer-lancou-remedio-contra-covid-19-que-copia-ivermectina/
GFC_NEG_00010,Jair Bolsonaro saiu da prisão para fazer exames de rotina e descobriu que está curado do câncer,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,95,2025-12-17,https://checamos.afp.com/doc.afp.com.88FV9G4
GFC_NEG_00011,O vinagre de álcool pode inutilizar o mosquito da dengue,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,56,2024-02-19,https://checamos.afp.com/doc.afp.com.34JT3MK
GFC_NEG_00012,Ciro Gomes disse que haverá fraudes nas eleições de 2022,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,56,2022-09-28,https://checamos.afp.com/doc.afp.com.32KB9HU
GFC_NEG_00013,Lula já fala em acabar com o Congresso,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,38,,https://www.estadao.com.br/estadao-verifica/nao-e-verdade-que-lula-tenha-falado-em-acabar-com-o-congresso/
GFC_NEG_00014,URNAS FORAM ENCONTRADAS DESCARTADAS ILEGALMENTE NO DMLU DE PORTO ALEGRE,0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,71,2022-11-22,https://www.boatos.org/politica/urnas-eletronicas-descartadas-ilegalmente-porto-alegre-mostra-foto.html
GFC_NEG_00015,Grupo de assessores do PT ganhou R$ 120 milhões na Mega da Virada 2025,0,FALSO,google_factcheck,DESCONHECIDA,AFIRMACAO_CHECADA,ROTULO_FORTE,70,2026-01-02,https://www.aosfatos.org/noticias/grupo-de-assessores-do-pt-nao-ganhou-premio-de-r-120-milhoes-na-ultima-mega-da-virada/
GFC_NEG_00016,Documento prova que Bolsonaro tinha aprovação da Receita Federal para ficar com joias sauditas,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,94,2024-07-05,https://www.aosfatos.org/noticias/receita-federal-bolsonaro-joias-sauditas/
GFC_NEG_00017,governo criou im posto pra quem movimenta R$ 5 mil por mês,0,FALSO,google_factcheck,DESCONHECIDA,AFIRMACAO_CHECADA,ROTULO_FORTE,58,,https://www.estadao.com.br/estadao-verifica/falso-movimentacao-acima-5-mil-pix-imposto-flavio-bolsonaro/
GFC_NEG_00018,"""Alemanha admite [que] 'vacina' Covid [é] 40 vezes mais mortal do que se sabia.""",0,FALSO,google_factcheck,OBSERVADOR,AFIRMACAO_CHECADA,ROTULO_FORTE,80,2022-05-30,https://observador.pt/factchecks/fact-check-alemanha-admitiu-que-a-vacina-contra-a-covid-19-e-40-vezes-mais-mortal-que-o-previsto/
GFC_NEG_00019,Vídeo mostra Lula com uma camiseta com a inscrição “Bolsonaro 2026”,0,FALSO,google_factcheck,BOL,AFIRMACAO_CHECADA,ROTULO_FORTE,67,,https://www.bol.uol.com.br/noticias/2025/01/28/video-satirico-de-lula-pedindo-votos-para-bolsonaro-em-2026-e-ia.htm
GFC_NEG_00020,"Vídeo de três minutos no qual um homem alega que Gleisi Hoffmann, presidente nacional do Partido dos Trabalhadores, teria feito uma série de afirmações sobre a aposentadoria de integrantes das Forças Armadas e policiais militares. Segundo o autor, a parlamentar teria dito que a previdência desse grupo será incorporada ao Instituto Nacional do Seguro Social (INSS), que haverá revisão da idade mínima para aposentadoria e a revogação da pensão por morte do cônjuge, e que militares e forças auxiliares não devem ter benefícios maiores do que o restante da sociedade.",0,FALSO,google_factcheck,FOLHA_-_UOL,AFIRMACAO_CHECADA,ROTULO_FORTE,567,2022-11-17,https://www1.folha.uol.com.br/poder/2022/11/video-inventa-declaracoes-de-gleisi-hoffmann-sobre-reducao-de-beneficios-para-militares-no-governo-lula.shtml
GFC_NEG_00021,Conseguiram identificar os nomes e votos de 100% dos eleitores,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,62,2022-11-17,https://www.aosfatos.org/noticias/log-urna-nao-identifica-nome-voto/
GFC_NEG_00022,"LULA é comparado a um MACACO FALANTE pelo ""The New York Times""",0,FALSO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,62,,https://noticias.uol.com.br/confere/ultimas-noticias/2024/02/23/charge-racista-lula-new-york-times-guerra-israel.htm
GFC_NEG_00023,Vídeo mostra Luciano Hang comemorando indicação de Flávio Bolsonaro para disputar eleição presidencial de 2026,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,110,2025-12-09,https://www.aosfatos.org/noticias/video-celebracao-luciano-hang-2018-nao-apos-bolsonaro-indicar-flavio-presidencia/
GFC_NEG_00024,Campos Neto vai para os EUA e entrega à CIA dossiê com 3.847 páginas sobre corrupção de Lula e Moares,0,FALSO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,101,,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/20/falso-campos-neto-fuga-eua-dossie-lula-moraes-cia.htm
