termo_busca,texto_afirmacao,data_claim,fonte,url_checagem,avaliacao_original,data_publicacao
urnas eletrônicas,Lula perdeu todas as eleições com votação manual e nunca perdeu eleição com urna eletrônica,2025-12-07T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.88868T3,Enganoso,2025-12-15T17:22:00Z
urnas eletrônicas,Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,2025-12-09T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09T00:00:00Z
urnas eletrônicas,No congresso americano todas as urnas foram hackeadas em menos de duas horas,2025-11-02T00:00:00Z,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/urnas-eletronicas-brasileiras-nao-foram-fraudadas-em-evento-em-las-vegas/,Falso,2025-11-07T00:00:00Z
urnas eletrônicas,Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,2025-08-25T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25T00:00:00Z
urnas eletrônicas,Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,2025-08-14T20:51:42Z,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,
urnas eletrônicas,Projeto prevê 7 anos de cadeia para quem duvidar do sistema eleitoral,2025-06-25T00:00:00Z,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/projeto-no-senado-preve-punicao-para-desinformacao-eleitoral-nao-para-criticas-ao-sistema-de-votacao/,Enganoso,2025-07-01T00:00:00Z
urnas eletrônicas,Projeto em discussão no Senado prevê sete anos de reclusão para quem duvidar do sistema eleitoral.,2025-06-12T18:33:18Z,Estadão,https://www.estadao.com.br/estadao-verifica/quem-duvidar-das-urnas-7-anos-de-prisao-enganoso/,Enganoso,
urnas eletrônicas,Donald Trump elogiou urnas eletrônicas brasileiras,2025-03-27T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/trump-elogiou-identificacao-biometrica-nao-urna-eletronica-brasileira/,não_é_bem_assim,2025-03-27T00:00:00Z
urnas eletrônicas,Descarte de 195 mil urnas eletrônicas é queima de arquivo,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,
urnas eletrônicas,TSE descarta 200 mil urnas para apagar rastro da fraude e enterrar qualquer chance de auditoria,2025-03-08T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.372U92K,Falso,2025-03-18T15:50:00Z
TSE,Lula pede ao TSE para barrar vídeos na internet durante as eleições,,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.ghtm,Falso,
TSE,Lula pede ao TSE para barrar vídeos na internet durante as eleições,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.ghtm,Falso,
TSE,Eleição sem internet: Lula pede ao TSE para proibir vídeos durante eleições,2026-04-06T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BG6T4,Falso,2026-04-09T21:28:00Z
TSE,"Em 2022, o TSE proibiu diminuir o preço dos combustiveis",2026-03-12T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A3WV3T4,Falso,2026-03-19T15:04:00Z
TSE,"Eleitora diz que votaram em seu lugar nas eleições de 2022, quando estava fora do país.",2026-01-16T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-tse-contabilizou-voto-eleitora-ausente-2022/,falso,2026-01-16T00:00:00Z
TSE,"""Careca do INSS"" doou R$ 1 milhão para Jair Bolsonaro nas eleições de 2022",2025-09-15T16:58:01Z,Estadão,https://www.estadao.com.br/estadao-verifica/site-do-tse-mostra-que-careca-do-inss-doou-r-1-a-campanha-de-bolsonaro-em-2022-e-nao-r-1-milhao/,Falso,
TSE,Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,2025-08-14T20:51:42Z,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,
