id_registro,texto_principal,label,label_detalhe,pipeline_origem,portal_origem,origem_texto,origem_qualidade,tamanho_chars,data_publicacao,url_origem,faixa_tamanho
GFC_VER_00010,PT publica foto com duplicações em ato em Salvador,1,GFC_VERDADEIRO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,50,2022-07-11,https://noticias.uol.com.br/confere/ultimas-noticias/2022/07/11/pt-admite-duplicacao-em-foto-de-ato-no-dois-de-julho-por-erro-tecnico.htm,50_100
GFC_NEG_00250,"Nome dele é Hugo ele é do MST ajudem a divulgar. Infiltrado. Aproveitou o momento para destruir tudo e botar a culpa nos patriotas que são homens de bem, que só querem a liberdade.",0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,180,2023-01-09,https://www.boatos.org/politica/hugo-mst-estava-infiltrado-manifestacoes-brasilia-mostra-video.html,150_200
GFC_NEG_00214,Imagem do evento do PT no dia do trabalhador esvaziado em 2025,0,ENGANOSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,62,2025-05-05,https://checamos.afp.com/doc.afp.com.44KH7T2,50_100
GFC_NEG_00024,Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,0,FALSO,google_factcheck,DESCONHECIDA,AFIRMACAO_CHECADA,ROTULO_FORTE,61,,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,50_100
RSS_00041,"Turbinada sob Castro, cidade de pré-candidato bolsonarista no RJ espera verba acertada com Paes",1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,95,,https://www1.folha.uol.com.br/poder/2026/05/turbinada-sob-castro-cidade-de-pre-candidato-bolsonarista-no-rj-espera-verba-acertada-com-paes.shtml,50_100
GFC_NEG_00012,"Faustão furou a fila e recebeu um coração do SUS💲💲. Detalhe: o coração estava c miocardite. Agora pasmem, quer um novo coração só q dessa vez o ""doador"" não pode ter tomado as 💉💉. ‼️‼️‼️‼️⁉️⁉️⁉️⁉️‼️‼️‼️‼️ Tire suas conclusões. O povo perece por falta de conhecimento",0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,266,2023-09-26,https://www.boatos.org/entretenimento/faustao-recebeu-coracao-com-miocardite-vai-ter-que-fazer-novo-transplante-coracao-nao-vacinado.html,200_300
RSS_00002,Juros escalam com candidatura de Flávio Bolsonaro ameaçada pelo 'caso Dark Horse',1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,81,,https://www1.folha.uol.com.br/mercado/2026/05/juros-escalam-com-candidatura-de-flavio-bolsonaro-ameacada-pelo-caso-dark-horse.shtml,50_100
RSS_00074,A consequência para Zema após os vídeos contra Gilmar Mendes — Confronto entre o ex-governador de Minas e o ministro do STF ganhou novo capítulo,1,NOTICIA_REAL,noticias_reais,VEJA_POLITICA,titulo_resumo,ROTULO_ASSUMIDO,144,2026-05-15,https://veja.abril.com.br/politica/a-consequencia-para-zema-apos-os-videos-contra-gilmar-mendes/,100_150
GFC_NEG_00225,Tecnólogo desafia o sistema e revela com detalhes como as urnas foram fraudadas. Ele expõe com detalhes o caminho dos votos roubados de Bolsonaro,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,145,,https://www.estadao.com.br/estadao-verifica/nulos-brancos-transferidos-lula-2022-falso/,100_150
GFC_NEG_00029,Lula diz que o povo brasileiro daria a vida por ele em caso de guerra com os EUA,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,80,,https://www.estadao.com.br/estadao-verifica/lula-povo-brasileiro-daria-a-vida-por-ele-trump-falso/,50_100
GFC_NEG_00146,O Tribunal Superior Eleitoral (TSE) publicou um vídeo em 2017 defendendo o voto impresso,0,FORA_DE_CONTEXTO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,88,2021-07-08,https://checamos.afp.com/doc.afp.com.9EE7U2,50_100
RSS_00039,Datafolha divulga neste sábado pesquisa sobre a disputa pela Presidência — As 2.004 entrevistas começaram na terça-feira 12 e terminaram na quinta 14. A margem de erro é de dois pontos percentuais,1,NOTICIA_REAL,noticias_reais,CARTACAPITAL,titulo_resumo,ROTULO_ASSUMIDO,196,2026-05-16,https://www.cartacapital.com.br/cartaexpressa/datafolha-divulga-neste-sabado-pesquisa-sobre-a-disputa-pela-presidencia/,150_200
RSS_00155,"Áudio de Flávio com Vorcaro irrita pastores, e ala defende migrar apoio para Caiado — A revelação de que o senador Flávio Bolsonaro (PL-RJ) pediu uma quantia milionária a Daniel Vorcaro para financiar um filme sobre o pai caiu como um balde de água fria entre lideranças evangélicas que, nos bastidores, já vinham demonstrando entusiasmo limitado com sua pré-candidatura à Presidência. Leia mais (05/14/2026 - 12h52)",1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo_resumo,ROTULO_ASSUMIDO,416,2026-05-14,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/audio-de-flavio-com-vorcaro-irrita-pastores-e-ala-defende-migrar-apoio-para-caiado.shtml,400_mais
RSS_00136,"Negacionismo fez brasileiros ‘perderem’ 3,4 anos de vida na pandemia — O dado faz parte do Estudo Carga Global de Doenças, publicado neste mês",1,NOTICIA_REAL,noticias_reais,CARTACAPITAL,titulo_resumo,ROTULO_ASSUMIDO,142,2026-05-16,https://www.cartacapital.com.br/saude/negacionismo-fez-brasileiros-perderem-34-anos-de-vida-na-pandemia/,100_150
