id_registro,texto_principal,label,label_detalhe,pipeline_origem,portal_origem,origem_texto,origem_qualidade,tamanho_chars,data_publicacao,url_origem
GFC_NEG_00001,Lula recusou compra de vacina contra a dengue em 2023,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,53,2023-12-29,https://checamos.afp.com/doc.afp.com.34982E6
RSS_00001,Comissão da Câmara aprova cota para mulheres na direção de clubes — Texto prevê reserva de vagas para mulheres em cargos de comando e em conselhos que apuram assédio sexual.,1,NOTICIA_REAL,noticias_reais,CONGRESSO_EM_FOCO,titulo_resumo,ROTULO_ASSUMIDO,173,2026-05-15,https://www.congressoemfoco.com.br/noticia/118927/comissao-da-camara-aprova-cota-para-mulheres-na-direcao-de-clubes
RSS_00002,Juros escalam com candidatura de Flávio Bolsonaro ameaçada pelo 'caso Dark Horse',1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,81,,https://www1.folha.uol.com.br/mercado/2026/05/juros-escalam-com-candidatura-de-flavio-bolsonaro-ameacada-pelo-caso-dark-horse.shtml
RSS_00003,"'Ele merece ou não este filme?', diz Flávio Bolsonaro ao defender uso de verba para obra sobre o pai",1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo,ROTULO_ASSUMIDO,100,2026-05-15,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/ele-merece-ou-nao-este-filme-diz-flavio-bolsonaro-ao-defender-uso-de-verba-para-obra-sobre-o-pai.shtml
GFC_NEG_00002,Advogado defende a impressão de comprovantes de votação durante julgamento no STF e fala sobre falhas encontradas nas urnas eletrônicas que poderiam ameaçar o processo eleitoral.,0,ENGANOSO,google_factcheck,PROJETO_COMPROVA,AFIRMACAO_CHECADA,ROTULO_FORTE,178,2022-05-18,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-que-cita-falhas-ja-corrigidas-nas-urnas-volta-a-circular-fora-de-contexto/
RSS_00004,"O plano inusitado que Zema pretende implementar caso seja eleito para a presidência — Se chegar ao Planalto em 2027, ex-governador de Minas Gerais quer alianças para reformular as relações do Executivo com o Congresso",1,NOTICIA_REAL,noticias_reais,VEJA_POLITICA,titulo_resumo,ROTULO_ASSUMIDO,217,2026-05-16,https://veja.abril.com.br/politica/a-plano-inusitado-que-zema-pretende-implementar-caso-seja-eleito-para-a-presidencia/
GFC_NEG_00003,Áudios provam que Flávio Dino e Lula tramaram ataques de 8 de janeiro em Brasília,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,81,,https://www.estadao.com.br/estadao-verifica/abin-nega-existencia-de-audios-entre-flavio-dino-e-lula-com-trama-envolvendo-atos-de-8-de-janeiro/
GFC_NEG_00004,"Haddad aumentou imposto mensal dos MEIs em 7,5% em 2025",0,ENGANOSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,55,2025-02-27,https://checamos.afp.com/doc.afp.com.36YT72K
GFC_NEG_00005,Jorge Messias chorou após votação no Senado que o rejeitou para o STF,0,FALSO,google_factcheck,DESCONHECIDA,AFIRMACAO_CHECADA,ROTULO_FORTE,69,,https://www.bol.uol.com.br/noticias/2026/05/04/e-ia-imagem-de-messias-chorando-apos-ser-rejeitado-para-o-stf.ghtm
GFC_NEG_00006,Delegado da PF mandou prender o ministro do STF Alexandre de Moraes,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,67,2022-07-04,https://www.aosfatos.org/noticias/nao-e-verdade-delegado-mandou-prender-alexandre-de-moraes/
GFC_NEG_00007,"A partir de amanhã, em todo o mundo, existem novas regras de comunicação, todos os governos da Europa, América do Norte e América do Sul chegaram a um acordo com a Whatsapp, Twiter, Facebook e outros canais de comunicação. Todas as chamadas serão gravadas. Todos os registros de chamadas telefônicas são gravados. Todas as mensagens e chamadas WhatsApp são gravadas. O Twitter é monitorado. NO BRASIL O STF AUTORIZOU O MONITORAMENTO.",0,FALSO,google_factcheck,BOL_-_UOL,AFIRMACAO_CHECADA,ROTULO_FORTE,433,2023-01-10,https://www.bol.uol.com.br/noticias/2023/01/10/mensagem-falsa-whatsapp-stf.htm
RSS_00005,Ciro lança pré-candidatura ao governo do Ceará com discurso focado na segurança — O ex-prefeito de Fortaleza Roberto Cláudio deve ser o vice do tucano,1,NOTICIA_REAL,noticias_reais,CARTACAPITAL,titulo_resumo,ROTULO_ASSUMIDO,150,2026-05-16,https://www.cartacapital.com.br/cartaexpressa/ciro-lanca-pre-candidatura-ao-governo-do-ceara-com-discurso-focado-na-seguranca/
GFC_NEG_00008,Vídeo mostra motociata em Brasília no dia do julgamento de Jair Bolsonaro,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,73,,https://www.estadao.com.br/estadao-verifica/motociata-brasilia-dia-julgamento-jair-bolsonaro-enganoso/
GFC_NEG_00009,Títulos de eleitor encontrados no lixo reciclável no Ceará provam fraude eleitoral no estado.,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,93,2022-11-21,https://www.aosfatos.org/noticias/falso-titulos-eleitor-lixo-provam-fraude/
GFC_NEG_00010,"Novo salário mínimo para pessoas que recebem dois salários R$ 1.200,20",0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,70,2024-01-29,https://checamos.afp.com/doc.afp.com.34H78PG
