id_registro,texto_principal,label,label_detalhe,pipeline_origem,portal_origem,origem_texto,tamanho_chars,data_publicacao,url_origem
8b632b65-950a-4de6-924a-1492cd0fe707,Jair Renan filho de Bolsonaro é alvo de operação policial em 2026,0,ENGANOSO,google_factcheck,AFP_CHECAMOS,afirmacao_checada,65,2026-05-06,https://checamos.afp.com/doc.afp.com.A9ZT363
cf4168df-676d-485a-86df-93c60f9923bd,Índia pediu pena de morte para “cientista da OMS que bloqueou o acesso à ivermectina” para tratamento da covid-19,0,ENGANOSO,google_factcheck,UOL_NOTÍCIAS,afirmacao_checada,113,,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/07/01/post-engana-ao-afirmar-que-india-pediu-pena-de-morte-a-cientista-da-oms.htm
0e0249ea-d819-4f89-866f-8f26fdf5fa85,'Vai continuar os 500k ou pode ser os 300k?': PF aponta pagamento de 'mesada' de Vorcaro a Ciro Nogueira,1,NOTICIA_REAL,noticias_reais,G1_POLITICA,titulo,104,2026-05-07,https://g1.globo.com/politica/blog/andreia-sadi/noticia/2026/05/07/repasses-mensais-ciro-nogueira.ghtml
e52fd6c1-93d4-468d-9b80-a8dfa9aa2a1e,Polícia Militar confirma 2 milhões de pessoas na Avenida Paulista.,0,FALSO,google_factcheck,ESTADÃO,afirmacao_checada,66,,https://www.estadao.com.br/estadao-verifica/falso-policia-militar-divulgado-estimativa-publico-ato-anistia/
674514b1-b8af-4261-a9d5-31779a48b0fe,Escala 6x1: Durigan diz que é 'radicalmente contra' compensar empresas em caso de redução de jornada,1,NOTICIA_REAL,noticias_reais,G1_POLITICA,titulo,100,2026-05-12,https://g1.globo.com/economia/noticia/2026/05/12/escala-6x1-durigan-diz-que-e-radicalmente-contra-compensar-empresas-em-caso-de-reducao-de-jornada.ghtml
1df6e743-afc6-4d06-ac80-01cd25d0ac0e,Sempre defendi combater o vírus e o desemprego de forma simultânea.,0,FALSO,google_factcheck,AOS_FATOS,afirmacao_checada,67,2021-09-21,https://www.aosfatos.org/noticias/checamos-bolsonaro-assembleia-geral-onu/
20d05fb9-56d0-493b-a3c4-1c07b7958182,Saiba como vai funcionar programa federal contra o crime organizado,1,NOTICIA_REAL,noticias_reais,AGENCIA_BRASIL,titulo,67,2026-05-12,https://agenciabrasil.ebc.com.br/politica/noticia/2026-05/saiba-como-vai-funcionar-programa-federal-contra-o-crime-organizado
c2f6a199-5d94-4590-b006-7b8f3654bf7c,Em 1988 Renato Russo já dava alerta sobre Bolsonaro,0,FALSO,google_factcheck,UOL_NOTÍCIAS,afirmacao_checada,51,,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/07/falso-videos-renato-russo-cazuza-gonzaguinha-critica-jair-bolsonaro.ghtm
2333337c-eb47-4fe8-a00b-dd5a4c8ac22a,Assessores do PT ganharam R$ 120 milhões na Mega-Sena da virada de 2026,0,ENGANOSO,google_factcheck,DESCONHECIDA,afirmacao_checada,71,,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/05/assessores-do-pt-ganharam-r-120-milhoes-na-mega-sena-em-2019.htm
bf4cb316-cdd9-459b-8eb8-d6b027f2ab6d,FDA autoriza médicos a utilizarem ivermectina para Covid desde 08/08/23,0,FALSO,google_factcheck,AOS_FATOS,afirmacao_checada,71,2023-08-23,https://www.aosfatos.org/noticias/falso-recomendacao-fda-ivermectina/
a74c6e0d-b026-4d12-8381-9ef78a8d4846,"Aliado da família Bolsonaro, Tarcísio falta a evento com Flávio por causa de gripe — Informação foi dada pela assessoria do governador de São Paulo",1,NOTICIA_REAL,noticias_reais,CORREIO_BRAZILIENSE,titulo_resumo,147,2026-05-16,https://www.correiobraziliense.com.br/politica/2026/05/7421255-aliado-da-familia-bolsonaro-tarcisio-falta-a-evento-com-flavio-por-causa-de-gripe.html
143b1e9a-d639-466c-b2f5-02e244cfcc91,Ciro Nogueira diz que vai reapresentar 'Emenda Master' e volta a criticar ação da PF,1,NOTICIA_REAL,noticias_reais,G1_POLITICA,titulo,84,2026-05-12,https://g1.globo.com/pi/piaui/eleicoes/2026/noticia/2026/05/12/ciro-nogueira-candidato-senado.ghtml
